COMPANY_CD,COMPANY_NM,POST_CD,POST_NM,DATE_START,DATE_END,EXAMPLE_CD,EXAMPLE_TXT,LEN_MAX
PUB01,A공사,PUB01-202504,2025년 신입/경력 공개채용,2025-12-01,2025-12-15,PUB01-202504-Q1,간단한 자기소개를 작성하시오.,1000
PUB01,A공사,PUB01-202504,2025년 신입/경력 공개채용,2025-12-01,2025-12-15,PUB01-202504-Q2,지원한 직무와 관련하여 본인이 가진 역량에 대하여 작성해주시기 바랍니다.,700
PUB01,A공사,PUB01-202504,2025년 신입/경력 공개채용,2025-12-01,2025-12-15,PUB01-202504-Q3,"최근 3년 이내 본인이 경험했던 큰 변화가 무엇인지 설명하고, 그 변화를 어떻게 받아들이고 극복했는지 작성해주시기 바랍니다.",700
PUB01,A공사,PUB01-202504,2025년 신입/경력 공개채용,2025-12-01,2025-12-15,PUB01-202504-Q4,자신의 성격상 장단점을 작성하시오.,700
PUB01,A공사,PUB01-202504,2025년 신입/경력 공개채용,2025-12-01,2025-12-15,PUB01-202504-Q5,자발적으로 최고 수준의 목표를 세우고 끈질기게 성취한 경험을 작성하시오,700
CORP01,주식회사 B,CORP01-202517,2025년 상시 인재 DB,2025-12-01,2025-12-31,CORP01-202517-Q1,간단한 자기소개를 작성하시오.,1000
CORP01,주식회사 B,CORP01-202517,2025년 상시 인재 DB,2025-12-01,2025-12-31,CORP01-202517-Q2,"최근 3년 이내 본인이 경험했던 큰 변화가 무엇인지 설명하고, 그 변화를 어떻게 받아들이고 극복했는지 작성해주시기 바랍니다.",700
CORP01,주식회사 B,CORP01-202517,2025년 상시 인재 DB,2025-12-01,2025-12-31,CORP01-202517-Q3,자신의 성격상 장단점을 작성하시오.,700
CORP01,주식회사 B,CORP01-202518,2025년 신입 공개채용,2025-12-08,2025-12-19,CORP01-202518-Q1,간단한 자기소개를 작성하시오.,1000
CORP01,주식회사 B,CORP01-202518,2025년 신입 공개채용,2025-12-08,2025-12-19,CORP01-202518-Q2,자신의 성격상 장단점을 작성하시오.,700
CORP01,주식회사 B,CORP01-202518,2025년 신입 공개채용,2025-12-08,2025-12-19,CORP01-202518-Q3,자발적으로 최고 수준의 목표를 세우고 끈질기게 성취한 경험을 작성하시오,700
CORP01,주식회사 B,CORP01-202519,2025년 경력 공개채용,2025-12-08,2025-12-19,CORP01-202519-Q1,간단한 자기소개를 작성하시오.,1000
CORP01,주식회사 B,CORP01-202519,2025년 경력 공개채용,2025-12-08,2025-12-19,CORP01-202519-Q2,지원한 직무와 관련하여 본인이 가진 역량을 실무 기반으로 작성해주시기 바랍니다.,700
CORP01,주식회사 B,CORP01-202519,2025년 경력 공개채용,2025-12-08,2025-12-19,CORP01-202519-Q3,"최근 3년 이내 본인이 경험했던 큰 변화가 무엇인지 설명하고, 그 변화를 어떻게 받아들이고 극복했는지 작성해주시기 바랍니다.",700
